TEAM,CONFERENCE,TEAM,CONFERENCE
East Tennessee St. Buccaneers,Southern,Abilene Christian,southland
Abilene Christian Wildcats,Southland,Air Force,mwc
Florida College Falcons,,Akron,mac
South Florida Bulls,American Athletic Conference,Alabama A&M,swac
Limestone Saints,,Alabama-Birmingham,cusa
James Madison Dukes,Colonial Athletic Association,Alabama State,swac
Radford Highlanders,Big South,Alabama,sec
Virginia Tech Hokies,Atlantic Coast,Albany (NY),america-east
Mount St. Mary's Mountaineers,Northeast,Alcorn State,swac
Morgan St. Bears,Mid-Eastern Athletic,American,patriot
Oakland Golden Grizzlies,Horizon League,Appalachian State,sun-belt
Xavier Musketeers,Big East,Arizona State,pac-12
George Washington Colonials,Atlantic 10,Arizona,pac-12
Navy Midshipmen,Patriot League,Little Rock,sun-belt
McNeese St. Cowboys,Southland,Arkansas-Pine Bluff,swac
Nebraska Cornhuskers,Big Ten,Arkansas State,sun-belt
North Dakota Fighting Hawks,Summit,Arkansas,sec
Miami (OH) RedHawks,Mid-American,Army,patriot
North Georgia Saints,,Auburn,sec
Mercer Bears,Southern,Austin Peay,ovc
Keene State ,,Ball State,mac
New Hampshire Wildcats,America East,Baylor,big-12
Florida National Conquistadors,,Bellarmine,atlantic-sun
Georgia Southern Eagles,Sun Belt,Belmont,ovc
Prairie View A&M Panthers,Southwestern Athletic,Binghamton,america-east
Little Rock Trojans,Sun Belt,Boise State,mwc
Towson Tigers,Colonial Athletic Association,Boston College,acc
Virginia Cavaliers,Atlantic Coast,Boston University,patriot
Illinois St. Redbirds,Missouri Valley,Bowling Green State,mac
Ohio St. Buckeyes,Big Ten,Bradley,mvc
Southern Wesleyan Warriors,,Brigham Young,wcc
South Carolina Upstate Spartans,Big South,Brown,ivy
Lander Bearcats,,Bryant,northeast
Chattanooga Mocs,Southern,Bucknell,patriot
Austin Peay Governors,Ohio Valley,Buffalo,mac
Nebraska Omaha Mavericks,Summit,Butler,big-east
Appalachian St. Mountaineers,Sun Belt,Cal Poly,big-west
South Carolina State Bulldogs,Mid-Eastern Athletic,Cal State Bakersfield,big-west
Old Dominion Monarchs,Conference USA,Cal State Fullerton,big-west
Maryland Terrapins,Big Ten,Cal State Northridge,big-west
Fairfield Stags,Metro Atlantic Athletic,California Baptist,wac
Providence Friars,Big East,UC-Davis,big-west
Drake Bulldogs,Missouri Valley,UC-Irvine,big-west
Kansas State Wildcats,Big 12,UC-Riverside,big-west
North Carolina A&T Aggies,Mid-Eastern Athletic,UC-San Diego,big-west
Illinois Fighting Illini,Big Ten,UC-Santa Barbara,big-west
Memphis Tigers,American Athletic Conference,University of California,pac-12
Saint Mary's Gaels,West Coast,Campbell,big-south
Piedmont Lions,,Canisius,maac
The Citadel Bulldogs,Southern,Central Arkansas,southland
Lamar Cardinals,Southland,Central Connecticut State,northeast
Houston Cougars,American Athletic Conference,Central Florida,aac
Toledo Rockets,Mid-American,Central Michigan,mac
Bradley Braves,Missouri Valley,Charleston Southern,big-south
North Dakota State Bison,Summit,Charlotte,cusa
Nevada Wolf Pack,Mountain West,Chattanooga,southern
Alcorn St. Braves,Southwestern Athletic,Chicago State,wac
UAB Blazers,Conference USA,Cincinnati,aac
Carver Bible College Cougars,,Citadel,southern
Kennesaw St. Owls,Atlantic Sun,Clemson,acc
UNC Wilmington Seahawks,Colonial Athletic Association,Cleveland State,horizon
Western Carolina Catamounts,Southern,Coastal Carolina,sun-belt
Oklahoma State Cowboys,Big 12,Colgate,patriot
Texas-Arlington Mavericks,Sun Belt,College of Charleston,colonial
Bowling Green Falcons,Mid-American,Colorado State,mwc
Michigan Wolverines,Big Ten,Colorado,pac-12
Delaware State Hornets,Mid-Eastern Athletic,Columbia,ivy
Wake Forest Demon Deacons,Atlantic Coast,Connecticut,big-east
UMBC Retrievers,America East,Coppin State,meac
Georgetown Hoyas,Big East,Cornell,ivy
Massachusetts Lowell River Hawks,America East,Creighton,big-east
San Francisco Dons,West Coast,Dartmouth,ivy
North Carolina Central Eagles,Mid-Eastern Athletic,Davidson,atlantic-10
Iowa Hawkeyes,Big Ten,Dayton,atlantic-10
Culver-Stockton Wildcats,,Delaware State,meac
Kansas City Roos,Summit,Delaware,colonial
Tusculum Pioneers,,Denver,summit
Furman Paladins,Southern,DePaul,big-east
Evansville Purple Aces,Missouri Valley,Detroit Mercy,horizon
Louisville Cardinals,Atlantic Coast,Dixie State,wac
Fairleigh Dickinson Knights,Northeast,Drake,mvc
Quinnipiac Bobcats,Metro Atlantic Athletic,Drexel,colonial
Western Kentucky Hilltoppers,Conference USA,Duke,acc
Northern Iowa Panthers,Missouri Valley,Duquesne,atlantic-10
Ohio Bobcats,Mid-American,East Carolina,aac
Chicago St. Cougars,Western Athletic,East Tennessee State,southern
UC Riverside Highlanders,Big West,Eastern Illinois,ovc
Pacific Tigers,West Coast,Eastern Kentucky,ovc
Liberty Flames,Atlantic Sun,Eastern Michigan,mac
Purdue Boilermakers,Big Ten,Eastern Washington,big-sky
Eastern Kentucky Colonels,Ohio Valley,Elon,colonial
North Florida Ospreys,Atlantic Sun,Evansville,mvc
William Jessup Warriors,,Fairfield,maac
Fresno St. Bulldogs,Mountain West,Fairleigh Dickinson,northeast
Charleston Cougars,Colonial Athletic Association,Florida A&M,meac
North Carolina Tar Heels,Atlantic Coast,Florida Atlantic,cusa
Western Michigan Broncos,Mid-American,Florida Gulf Coast,atlantic-sun
Butler Bulldogs,Big East,Florida International,cusa
Morehead St. Eagles,Ohio Valley,Florida State,acc
Kentucky Wildcats,Southeastern,Florida,sec
Toccoa Falls Screaming Eagles,,Fordham,atlantic-10
Wofford Terriers,Southern,Fresno State,mwc
Eastern Michigan Eagles,Mid-American,Furman,southern
Michigan St Spartans,Big Ten,Gardner-Webb,big-south
Ball St. Cardinals,Mid-American,George Mason,atlantic-10
Northern Kentucky Norse,Horizon League,George Washington,atlantic-10
Merchant Marine Academy Mariners,,Georgetown,big-east
Army Black Knights,Patriot League,Georgia Southern,sun-belt
Oakwood Ambassadors,,Georgia State,sun-belt
North Alabama Lions,Atlantic Sun,Georgia Tech,acc
UC Irvine Anteaters,Big West,Georgia,sec
Pepperdine Waves,West Coast,Gonzaga,wcc
High Point Panthers,Big South,Grambling,swac
Davidson Wildcats,Atlantic 10,Grand Canyon,wac
Mary Hardin-Baylor Crusaders,,Green Bay,horizon
Texas State Bobcats,Sun Belt,Hampton,big-south
